,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Time In the Game,ShotTightness,Height,Weight,Experience
0,Shot Chart Detail,0022000011,10,203944,Julius Randle,1610612752,New York Knicks,1,11,19,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-239,-12,1,0,20201223,IND,NYK,0,0.9987418960927363,80.0,250,7.0
1,Shot Chart Detail,0022000011,19,203944,Julius Randle,1610612752,New York Knicks,1,10,36,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,17,1,0,20201223,IND,NYK,1,0.924678098474716,80.0,250,7.0
2,Shot Chart Detail,0022000011,47,203944,Julius Randle,1610612752,New York Knicks,1,7,45,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,25,1,1,20201223,IND,NYK,4,0.9723873019805175,80.0,250,7.0
3,Shot Chart Detail,0022000011,124,203944,Julius Randle,1610612752,New York Knicks,1,3,6,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20201223,IND,NYK,8,1.0,80.0,250,7.0
4,Shot Chart Detail,0022000011,164,203944,Julius Randle,1610612752,New York Knicks,1,0,51,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-2,1,0,20201223,IND,NYK,11,0.9838699100999074,80.0,250,7.0
5,Shot Chart Detail,0022000011,264,203944,Julius Randle,1610612752,New York Knicks,2,5,54,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,20,1,0,20201223,IND,NYK,18,0.894427190999916,80.0,250,7.0
6,Shot Chart Detail,0022000011,329,203944,Julius Randle,1610612752,New York Knicks,2,1,52,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,13,1,0,20201223,IND,NYK,22,0.8221921916437787,80.0,250,7.0
7,Shot Chart Detail,0022000011,334,203944,Julius Randle,1610612752,New York Knicks,2,1,24,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,9,1,1,20201223,IND,NYK,22,0.7071067811865476,80.0,250,7.0
8,Shot Chart Detail,0022000011,347,203944,Julius Randle,1610612752,New York Knicks,2,0,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,68,252,1,0,20201223,IND,NYK,23,0.9654676377339159,80.0,250,7.0
9,Shot Chart Detail,0022000011,360,203944,Julius Randle,1610612752,New York Knicks,3,11,46,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-23,158,1,0,20201223,IND,NYK,24,0.9895702125995406,80.0,250,7.0
10,Shot Chart Detail,0022000011,372,203944,Julius Randle,1610612752,New York Knicks,3,10,0,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,10,1,1,20201223,IND,NYK,26,0.7432941462471663,80.0,250,7.0
11,Shot Chart Detail,0022000011,642,203944,Julius Randle,1610612752,New York Knicks,4,3,58,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,6,1,0,20201223,IND,NYK,44,0.7071067811865476,80.0,250,7.0
12,Shot Chart Detail,0022000011,653,203944,Julius Randle,1610612752,New York Knicks,4,3,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,1,1,1,20201223,IND,NYK,44,0.9987523388778446,80.0,250,7.0
13,Shot Chart Detail,0022000011,662,203944,Julius Randle,1610612752,New York Knicks,4,2,55,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-13,68,1,1,20201223,IND,NYK,45,0.9822119151142303,80.0,250,7.0
14,Shot Chart Detail,0022000011,673,203944,Julius Randle,1610612752,New York Knicks,4,1,56,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,8,84,1,1,20201223,IND,NYK,46,0.9954954725939522,80.0,250,7.0
15,Shot Chart Detail,0022000025,23,203944,Julius Randle,1610612752,New York Knicks,1,11,2,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,241,37,1,1,20201226,NYK,PHI,0,0.9884190637500497,80.0,250,7.0
16,Shot Chart Detail,0022000025,27,203944,Julius Randle,1610612752,New York Knicks,1,10,41,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20201226,NYK,PHI,1,1.0,80.0,250,7.0
17,Shot Chart Detail,0022000025,29,203944,Julius Randle,1610612752,New York Knicks,1,9,56,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,44,-22,1,1,20201226,NYK,PHI,2,0.8944271909999159,80.0,250,7.0
18,Shot Chart Detail,0022000025,41,203944,Julius Randle,1610612752,New York Knicks,1,8,44,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,122,100,1,1,20201226,NYK,PHI,3,0.7733921049602126,80.0,250,7.0
19,Shot Chart Detail,0022000025,67,203944,Julius Randle,1610612752,New York Knicks,1,5,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,5,1,0,20201226,NYK,PHI,6,0.9771763639228009,80.0,250,7.0
20,Shot Chart Detail,0022000025,102,203944,Julius Randle,1610612752,New York Knicks,1,3,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20201226,NYK,PHI,8,1.0,80.0,250,7.0
21,Shot Chart Detail,0022000025,235,203944,Julius Randle,1610612752,New York Knicks,2,6,49,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,15,1,1,20201226,NYK,PHI,17,0.9486832980505138,80.0,250,7.0
22,Shot Chart Detail,0022000025,301,203944,Julius Randle,1610612752,New York Knicks,2,1,54,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,1,20201226,NYK,PHI,22,0.9899494936611666,80.0,250,7.0
23,Shot Chart Detail,0022000025,317,203944,Julius Randle,1610612752,New York Knicks,2,1,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,161,199,1,1,20201226,NYK,PHI,22,0.7774267925752649,80.0,250,7.0
24,Shot Chart Detail,0022000025,401,203944,Julius Randle,1610612752,New York Knicks,3,7,8,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,22,1,0,20201226,NYK,PHI,28,0.9397934234884371,80.0,250,7.0
25,Shot Chart Detail,0022000025,438,203944,Julius Randle,1610612752,New York Knicks,3,3,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,8,1,1,20201226,NYK,PHI,32,0.7999999999999999,80.0,250,7.0
26,Shot Chart Detail,0022000025,459,203944,Julius Randle,1610612752,New York Knicks,3,1,38,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-9,32,1,0,20201226,NYK,PHI,34,0.962650940153899,80.0,250,7.0
27,Shot Chart Detail,0022000025,561,203944,Julius Randle,1610612752,New York Knicks,4,6,48,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,1,20201226,NYK,PHI,41,0.8944271909999159,80.0,250,7.0
28,Shot Chart Detail,0022000025,598,203944,Julius Randle,1610612752,New York Knicks,4,3,33,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20201226,NYK,PHI,44,1.0,80.0,250,7.0
29,Shot Chart Detail,0022000025,608,203944,Julius Randle,1610612752,New York Knicks,4,2,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,11,1,1,20201226,NYK,PHI,45,0.9153150324227656,80.0,250,7.0
30,Shot Chart Detail,0022000036,18,203944,Julius Randle,1610612752,New York Knicks,1,10,45,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,29,1,0,20201227,NYK,MIL,1,0.9924715722068733,80.0,250,7.0
31,Shot Chart Detail,0022000036,29,203944,Julius Randle,1610612752,New York Knicks,1,9,58,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,20,1,0,20201227,NYK,MIL,2,0.9701425001453319,80.0,250,7.0
32,Shot Chart Detail,0022000036,108,203944,Julius Randle,1610612752,New York Knicks,1,4,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-54,73,1,0,20201227,NYK,MIL,7,0.8039472058310129,80.0,250,7.0
33,Shot Chart Detail,0022000036,225,203944,Julius Randle,1610612752,New York Knicks,2,6,48,Missed Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,21,1,0,20201227,NYK,MIL,17,0.7657048647896111,80.0,250,7.0
34,Shot Chart Detail,0022000036,242,203944,Julius Randle,1610612752,New York Knicks,2,5,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,150,221,1,0,20201227,NYK,MIL,18,0.8274136425935184,80.0,250,7.0
35,Shot Chart Detail,0022000036,279,203944,Julius Randle,1610612752,New York Knicks,2,3,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,13,1,0,20201227,NYK,MIL,20,0.7327934916262991,80.0,250,7.0
36,Shot Chart Detail,0022000036,319,203944,Julius Randle,1610612752,New York Knicks,2,0,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,82,230,1,1,20201227,NYK,MIL,23,0.9419270779380741,80.0,250,7.0
