,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Time In the Game,ShotTightness,Height,Weight,Experience
0,Shot Chart Detail,0022000011,10,203944,Julius Randle,1610612752,New York Knicks,1,11,19,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-239,-12,1,0,20201223,IND,NYK,0,0.9987418960927363,80.0,250,7.0
1,Shot Chart Detail,0022000011,19,203944,Julius Randle,1610612752,New York Knicks,1,10,36,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,17,1,0,20201223,IND,NYK,1,0.924678098474716,80.0,250,7.0
2,Shot Chart Detail,0022000011,25,203901,Elfrid Payton,1610612752,New York Knicks,1,9,51,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,10,1,0,20201223,IND,NYK,2,0.9805806756909201,75.0,195,7.0
3,Shot Chart Detail,0022000011,30,1629628,RJ Barrett,1610612752,New York Knicks,1,9,22,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-190,193,1,1,20201223,IND,NYK,2,0.7126236156765169,78.0,214,2.0
4,Shot Chart Detail,0022000011,34,1629628,RJ Barrett,1610612752,New York Knicks,1,8,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,183,200,1,1,20201223,IND,NYK,3,0.7377663226327746,78.0,214,2.0
5,Shot Chart Detail,0022000011,39,203493,Reggie Bullock,1610612752,New York Knicks,1,8,15,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,3,225,1,0,20201223,IND,NYK,3,0.9999111229612074,78.0,205,8.0
6,Shot Chart Detail,0022000011,47,203944,Julius Randle,1610612752,New York Knicks,1,7,45,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,25,1,1,20201223,IND,NYK,4,0.9723873019805175,80.0,250,7.0
7,Shot Chart Detail,0022000011,51,203493,Reggie Bullock,1610612752,New York Knicks,1,7,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-64,248,1,0,20201223,IND,NYK,4,0.9682773237093576,78.0,205,8.0
8,Shot Chart Detail,0022000011,61,203493,Reggie Bullock,1610612752,New York Knicks,1,7,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-227,116,1,1,20201223,IND,NYK,4,0.8904700059948778,78.0,205,8.0
9,Shot Chart Detail,0022000011,71,203493,Reggie Bullock,1610612752,New York Knicks,1,6,16,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,224,17,1,1,20201223,IND,NYK,5,0.9971325181209088,78.0,205,8.0
10,Shot Chart Detail,0022000011,79,203493,Reggie Bullock,1610612752,New York Knicks,1,5,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,158,218,1,0,20201223,IND,NYK,6,0.8096986867714758,78.0,205,8.0
11,Shot Chart Detail,0022000011,83,203901,Elfrid Payton,1610612752,New York Knicks,1,5,26,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,11,1,1,20201223,IND,NYK,6,0.7071067811865476,75.0,195,7.0
12,Shot Chart Detail,0022000011,87,203493,Reggie Bullock,1610612752,New York Knicks,1,5,5,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,14,1,1,20201223,IND,NYK,6,0.9778024140774095,78.0,205,8.0
13,Shot Chart Detail,0022000011,97,1629628,RJ Barrett,1610612752,New York Knicks,1,4,42,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,13,1,1,20201223,IND,NYK,7,0.8106792283998809,78.0,214,2.0
14,Shot Chart Detail,0022000011,111,1629628,RJ Barrett,1610612752,New York Knicks,1,3,56,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,27,1,1,20201223,IND,NYK,8,0.997267754456709,78.0,214,2.0
15,Shot Chart Detail,0022000011,124,203944,Julius Randle,1610612752,New York Knicks,1,3,6,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20201223,IND,NYK,8,1.0,80.0,250,7.0
16,Shot Chart Detail,0022000011,130,202692,Alec Burks,1610612752,New York Knicks,1,2,53,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,0,20201223,IND,NYK,9,1.0,78.0,214,10.0
17,Shot Chart Detail,0022000011,133,203457,Nerlens Noel,1610612752,New York Knicks,1,2,50,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20201223,IND,NYK,9,1.0,83.0,220,8.0
18,Shot Chart Detail,0022000011,140,202692,Alec Burks,1610612752,New York Knicks,1,2,30,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,21,1,0,20201223,IND,NYK,9,0.9615239476408232,78.0,214,10.0
19,Shot Chart Detail,0022000011,145,202692,Alec Burks,1610612752,New York Knicks,1,2,10,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-239,-20,1,1,20201223,IND,NYK,9,0.9965169431454959,78.0,214,10.0
20,Shot Chart Detail,0022000011,164,203944,Julius Randle,1610612752,New York Knicks,1,0,51,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-2,1,0,20201223,IND,NYK,11,0.9838699100999074,80.0,250,7.0
21,Shot Chart Detail,0022000011,169,1628995,Kevin Knox II,1610612752,New York Knicks,1,0,33,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,14,1,0,20201223,IND,NYK,11,0.997458699830735,79.0,215,3.0
22,Shot Chart Detail,0022000011,192,1630193,Immanuel Quickley,1610612752,New York Knicks,2,11,43,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,114,56,1,1,20201223,IND,NYK,12,0.8975543264374147,75.0,190,1.0
23,Shot Chart Detail,0022000011,195,1630167,Obi Toppin,1610612752,New York Knicks,2,11,20,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-13,75,1,0,20201223,IND,NYK,12,0.9853080203996409,81.0,220,1.0
24,Shot Chart Detail,0022000011,205,1628995,Kevin Knox II,1610612752,New York Knicks,2,10,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-91,248,1,0,20201223,IND,NYK,13,0.9387947222679422,79.0,215,3.0
25,Shot Chart Detail,0022000011,222,202692,Alec Burks,1610612752,New York Knicks,2,9,24,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-92,248,1,1,20201223,IND,NYK,14,0.9375662184099312,78.0,214,10.0
26,Shot Chart Detail,0022000011,229,202692,Alec Burks,1610612752,New York Knicks,2,8,42,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-21,109,1,1,20201223,IND,NYK,15,0.9819421344772693,78.0,214,10.0
27,Shot Chart Detail,0022000011,232,1630167,Obi Toppin,1610612752,New York Knicks,2,8,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-116,242,1,0,20201223,IND,NYK,15,0.9017555157995562,81.0,220,1.0
28,Shot Chart Detail,0022000011,241,1630193,Immanuel Quickley,1610612752,New York Knicks,2,7,46,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,110,176,1,0,20201223,IND,NYK,16,0.8479983040050879,75.0,190,1.0
29,Shot Chart Detail,0022000011,247,1630167,Obi Toppin,1610612752,New York Knicks,2,7,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-166,-1,1,0,20201223,IND,NYK,16,0.9999818556252082,81.0,220,1.0
30,Shot Chart Detail,0022000011,258,202692,Alec Burks,1610612752,New York Knicks,2,6,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,5,1,1,20201223,IND,NYK,17,0.9103664774626048,78.0,214,10.0
31,Shot Chart Detail,0022000011,264,203944,Julius Randle,1610612752,New York Knicks,2,5,54,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,20,1,0,20201223,IND,NYK,18,0.894427190999916,80.0,250,7.0
32,Shot Chart Detail,0022000011,268,1630167,Obi Toppin,1610612752,New York Knicks,2,5,39,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,-20,1,1,20201223,IND,NYK,18,0.9964877666150213,81.0,220,1.0
33,Shot Chart Detail,0022000011,288,1630193,Immanuel Quickley,1610612752,New York Knicks,2,4,26,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-233,120,1,0,20201223,IND,NYK,19,0.8890216230213622,75.0,190,1.0
34,Shot Chart Detail,0022000011,292,1629628,RJ Barrett,1610612752,New York Knicks,2,4,13,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,0,1,1,20201223,IND,NYK,19,1.0,78.0,214,2.0
35,Shot Chart Detail,0022000011,304,202692,Alec Burks,1610612752,New York Knicks,2,3,32,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,5,130,1,1,20201223,IND,NYK,20,0.9992611746313143,78.0,214,10.0
