,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Time In the Game,ShotTightness,Height,Weight,Experience
0,Shot Chart Detail,0022100016,14,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,7,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,110,237,1,1,20211021,GSW,LAC,0,0.9070611689732034,74.0,185,12.0
1,Shot Chart Detail,0022100016,48,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,10,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-1,1,1,20211021,GSW,LAC,3,0.8944271909999159,74.0,185,12.0
2,Shot Chart Detail,0022100016,78,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,17,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-116,234,1,1,20211021,GSW,LAC,5,0.8959534904282123,74.0,185,12.0
3,Shot Chart Detail,0022100016,92,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,27,1,1,20211021,GSW,LAC,7,1.0,74.0,185,12.0
4,Shot Chart Detail,0022100016,113,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,19,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,80,247,1,1,20211021,GSW,LAC,8,0.9513449365026807,74.0,185,12.0
5,Shot Chart Detail,0022100016,116,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,47,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-98,237,1,1,20211021,GSW,LAC,9,0.9241118099301447,74.0,185,12.0
6,Shot Chart Detail,0022100016,119,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,25,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,1,187,1,1,20211021,GSW,LAC,9,0.9999857019280942,74.0,185,12.0
7,Shot Chart Detail,0022100016,128,201939,Stephen Curry,1610612744,Golden State Warriors,1,1,59,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20211021,GSW,LAC,10,0.9863939238321437,74.0,185,12.0
8,Shot Chart Detail,0022100016,150,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,213,134,1,1,20211021,GSW,LAC,11,0.846431864303332,74.0,185,12.0
9,Shot Chart Detail,0022100016,235,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,4,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,2,115,1,1,20211021,GSW,LAC,16,0.9998488055630911,74.0,185,12.0
